Home,Postcode,Competition
Oxford,OX4 1SR,Men's Midlands Tier 3
Lancaster,LA1 4YQ,ICG Women's Northern Tier 4
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 1
Kingston,KT7 0AE,ICG Women's South Eastern Tier 3 
Essex,CO4 3SQ,ICG Women's South Eastern Tier 4
Leeds Beckett,LS6 3QQ,Men's Northern Tier 3
Northumbria,NE7 7XA,Men's Northern Tier 2
Anglia Ruskin  (Cambridge),CB3 0EQ,ICG Women's Midlands Tier 4
Newcastle,NE12 8AD,ICG Women's Northern Tier 5
Queen Mary,,ICG Women's South Eastern Tier 3 
Abertay,DD4 7AA,Men's Scottish Tier 1
St Andrews,KY16 9DY,Men's Scottish Tier 1
Durham,DH1 3SE,ICG Women's Premier
Wrexham Glyndwr,LL11 2AW,Men's Northern Tier 5
Sussex,,ICG Women's South Eastern Tier 2
Bucks New,HP7 9HN,ICG Women's South Eastern Tier 4
Roehampton,SW15 5JQ,ICG Women's South Eastern  Tier 5
Strathclyde,G33 6ND,ICG Women's Scottish Tier 3
Dundee,DD2 1UQ,Men's Scottish Tier 4 
Swansea,SA2 8QB,ICG Women's Premier
De Montfort,,Men's Midlands Tier 3
Royal Veterinary College,,Men's South Eastern Tier 3
Canterbury CC,,ICG Women's South Eastern Tier 2
Keele,,ICG Women's Northern Tier 3 
Harper Adams,,ICG Women's Midlands Tier 4
Swansea,SA2 8QB,ICG Women's Western Tier 4
Manchester Met,M14 6HE,ICG Women's Northern Tier 4
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 4
King's College  (GKT),SE23 1NW,ICG Women's South Eastern  Tier 5
Edinburgh,,Men's Scottish Tier 3 
Birmingham,B15 2GR,Men's Midlands Tier 2
Leeds,LS16 5AU,Men's Northern Tier 5
Cardiff,CF14 3AT,ICG Women's Western Tier 3
Birmingham,B15 2GR,ICG Women's Midlands Tier 4
Sheffield Hallam,,ICG Women's Northern Tier 5
Reading,RG6 6UR,Men's South Eastern Tier 2
Edinburgh,,Men's Scottish Tier 2 
Glasgow,G20 0SP,ICG Women's Scottish Tier 4
Loughborough,LE11 3TU,Men's Midlands Tier 2
UWE,BS16 1QY,Men's Western Tier 3 
Liverpool,L18 6HF,Men's Northern Tier 3
Newcastle,,Men's Northern Tier 2
Manchester Met,,Men's Northern Tier 2
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 3
Southampton,SO50 5PE,ICG Women's Western Tier 4
Leeds,LS16 5AU,ICG Women's Northern Tier 3 
Bristol,BS9 2BJ,ICG Women's Western Tier 3
Nottingham,NG7 2PS,Men's Premier
Bath,BA2 7AY,ICG Women's Western Tier 2
Durham,DH1 3SE,Men's Northern Tier 3
Nottingham Trent,,ICG Women's Midlands Tier 2
Oxford,OX4 1SR,ICG Women's Midlands Tier 2
Newcastle,NE12 8AD,ICG Women's Northern Tier 1
Leicester,LE2 2LL,Men's Midlands Tier 4
UCL,W4 2SH,ICG Women's South Eastern Tier 4
LSE,E20 3AD,ICG Women's South Eastern  Tier 5
Brighton  (Brighton),,ICG Women's South Eastern Tier 3 
Royal Agricultural,,ICG Women's Western Tier 2
Exeter,EX4 4QN,ICG Women's National 
Bristol,BS9 2BJ,Men's Western Tier 1
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern Tier 1
Kent,CT2 7SR,Men's South Eastern Tier 1
Oxford Brookes,OX3 0GB,Men's Midlands Tier 2
Warwick,CV4 8AH,Men's Midlands Tier 2
Queen Mary  (Barts),,Men's South Eastern Tier 3
Salford,WA15 7LU,Men's Northern Tier 4
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 5
Lancaster,LA1 4YQ,ICG Women's Northern Tier 2
St Mary's,TW11 9BE,ICG Women's South Eastern Tier 2
Manchester,M14 6HE,ICG Women's Northern Tier 3 
Aberystwyth,SA48 7BX,ICG Women's Western Tier 3
Imperial  (Medics),UB3 5AQ,ICG Women's South Eastern  Tier 5
Leeds Beckett,LS6 3QQ,Men's Premier
Brunel,UB8 3PH,Men's South Eastern Tier 2
St Andrews,KY16 9DY,Men's Scottish Tier 2 
Sussex,,Men's South Eastern Tier 4
Chichester,PO19 6PE,ICG Women's South Eastern Tier 2
Strathclyde,G33 6ND,Men's Scottish Tier 3 
Dundee,DD2 1UQ,ICG Women's Scottish Tier 1
York,YO10 5NA,ICG Women's Northern Tier 4
Durham,DH1 3SE,ICG Women's National 
USW,CF37 5UP,Men's Western Tier 3 
King's College,SE23 1NW,ICG Women's South Eastern Tier 4
Swansea,SA2 8QB,Men's Premier
King's College,SE23 1NW,Men's South Eastern Tier 2
Edinburgh,,Men's Scottish Tier 3 
Birmingham,B15 2GR,ICG Women's Midlands Tier 1
Cumbria,LA1 3DY,Men's Northern Tier 4
Leeds,LS16 5AU,Men's Northern Tier 5
Liverpool,L18 6HF,ICG Women's Northern Tier 2
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 2
Hartpury,,ICG Women's Western Tier 5
Reading,RG6 6UR,ICG Women's South Eastern Tier 3 
Glasgow,G20 0SP,ICG Women's Scottish Tier 2
Robert Gordon,AB24 5RU,Men's Scottish Tier 4 
Nottingham,NG7 2PS,Men's National
Gloucestershire,GL2 9DW,Men's Western Tier 1
Loughborough,LE11 3TU,ICG Women's Midlands Tier 1
Birmingham,B15 2GR,ICG Women's Midlands Tier 1
Solent,,Men's Western Tier 2 
Southampton,SO50 5PE,Men's Western Tier 2 
Bristol,BS9 2BJ,Men's Western Tier 2 
UWE,BS16 1QY,Men's Western Tier 3 
Birmingham City,B42 2SY,Men's Midlands Tier 3
Royal Holloway,,Men's South Eastern Tier 3
Huddersfield,,Men's Northern Tier 5
Leeds,LS16 5AU,ICG Women's Northern Tier 2
Aston,,ICG Women's Midlands Tier 3
Worcester,DY13 8BQ,ICG Women's Midlands Tier 2
Liverpool Hope,,ICG Women's Northern Tier 4
Manchester Met,M14 6HE,ICG Women's Northern Tier 5
Essex,CO4 3SQ,Men's South Eastern Tier 2
Cardiff,CF14 3AT,ICG Women's Western Tier 2
Edinburgh,,ICG Women's Scottish Tier 1
Cardiff Met,,ICG Women's Premier
Derby,DE22 1JD,ICG Women's Midlands Tier 4
Nottingham Trent,,ICG Women's Midlands Tier 4
York St John,,ICG Women's Northern Tier 5
Plymouth,PL6 8BH,ICG Women's Western Tier 2
Queen Mary  (Barts),,ICG Women's South Eastern Tier 1
Durham,DH1 3SE,ICG Women's Northern Tier 2
UCL,W4 2SH,ICG Women's South Eastern Tier 3 
Bath Spa,,ICG Women's Western Tier 4
St Andrews,KY16 9DY,ICG Women's Scottish Tier 1
St George's,KT7 0AE,Men's South Eastern Tier 3
Northampton,NN3 7QL,Men's Midlands Tier 4
Kent,CT2 7SR,Men's South Eastern Tier 4
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 4
City,E20 3AD,Men's South Eastern Tier 4
Lancaster,LA1 4YQ,Men's Northern Tier 2
Nottingham Trent,,ICG Women's Midlands Tier 3
Harper Adams,,ICG Women's Midlands Tier 3
Oxford,OX4 1SR,ICG Women's Midlands Tier 2
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern  Tier 5
Sheffield Hallam,,Men's Premier
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 2
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
Dundee,DD2 1UQ,ICG Women's Scottish Tier 5
Manchester,M14 6HE,Men's Northern Tier 1
Manchester,M14 6HE,ICG Women's Northern Tier 1
Bristol,BS9 2BJ,ICG Women's Western Tier 1
Leicester,LE2 2LL,ICG Women's Midlands Tier 2
Teesside,,ICG Women's Northern Tier 4
Exeter,EX4 4QN,Men's National
King's College,SE23 1NW,ICG Women's Premier
Manchester,M14 6HE,Men's Northern Tier 3
Warwick,CV4 8AH,ICG Women's Midlands Tier 3
Leeds Beckett,LS6 3QQ,ICG Women's National 
King's College  (GKT),SE23 1NW,Men's Premier
Edinburgh,,ICG Women's Scottish Tier 2
UWS,G41 4LB,ICG Women's Scottish Tier 5
Durham,DH1 3SE,Men's National
Liverpool,L18 6HF,ICG Women's Northern Tier 1
Nottingham,NG7 2RJ,Men's Midlands Tier 3
Leeds,LS16 5AU,Men's Northern Tier 4
Glasgow,G20 0SP,ICG Women's Scottish Tier 3
Sheffield,S8 8PS,ICG Women's Premier
Loughborough,LE11 3TU,Men's Midlands Tier 1
Cambridge,CB3 0EQ,Men's Midlands Tier 1
UWE,BS16 1QY,ICG Women's Western Tier 1
Cardiff,CF14 3AT,ICG Women's Western Tier 2
Edinburgh,,ICG Women's Scottish Tier 4
Nottingham,NG7 2PS,ICG Women's National 
St Andrews,KY16 9DY,ICG Women's Scottish Tier 4
Imperial,UB3 5AQ,Men's South Eastern Tier 5
East London,,ICG Women's South Eastern  Tier 5
Queen Mary  (Barts),,ICG Women's South Eastern  Tier 5
Cardiff Met,,Men's Premier
Bradford,BD9 6RB,ICG Women's Northern Tier 4
Nottingham Trent,,Men's National
Chester: Chester,,ICG Women's Northern Tier 5
Edinburgh Napier,,ICG Women's Scottish Tier 3
Glasgow,G20 0SP,Men's Scottish Tier 1
Cardiff  (Medics),CF14 3AT,ICG Women's Western Tier 1
Edinburgh Napier,,ICG Women's Scottish Tier 5
UW TSD: Carmarthen,,ICG Women's Western Tier 5
Chester: Chester,,Men's Northern Tier 2
Gloucestershire,GL2 9DW,ICG Women's Western Tier 4
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 3
Heriot-Watt,,Men's Scottish Tier 3 
Loughborough,LE11 3TU,Men's Midlands Tier 3
Bedfordshire,MK41 9EA,Men's Midlands Tier 4
Surrey,GU2 7AD,ICG Women's South Eastern Tier 3 
Bath,BA2 7AY,ICG Women's Western Tier 2
Stirling,FK9 4LA,Men's Scottish Tier 2 
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 4
Sheffield Hallam,,ICG Women's Northern Tier 4
Durham,DH1 3SE,ICG Women's National 
Aberdeen,,ICG Women's Scottish Tier 4
Aberdeen,,ICG Women's Scottish Tier 5
Heriot-Watt,,ICG Women's Scottish Tier 5
Nottingham Trent,,Men's Midlands Tier 2
Swansea,SA2 8QB,Men's Western Tier 2 
Bath,BA2 7AY,Men's Western Tier 2 
Southampton,SO50 5PE,Men's Western Tier 2 
Bournemouth,BH23 6BL,Men's Western Tier 3 
Royal Agricultural,,Men's Western Tier 3 
Cardiff,CF14 3AT,Men's Western Tier 3 
Bangor,LL57 2EH,Men's Northern Tier 3
Liverpool John Moores,,Men's Northern Tier 4
Brunel,UB8 3PH,Men's South Eastern Tier 4
Swansea,SA2 8QB,ICG Women's Western Tier 3
Cardiff Met,,ICG Women's Western Tier 3
Winchester,SO23 0QA,ICG Women's Western Tier 5
Portsmouth,PO4 8LW,ICG Women's South Eastern Tier 4
Lancaster,LA1 4YQ,Men's Northern Tier 3
York,YO10 5NA,ICG Women's Northern Tier 2
Essex,CO4 3SQ,Men's South Eastern Tier 4
St George's,KT7 0AE,ICG Women's South Eastern  Tier 5
Kent,CT2 7SR,ICG Women's South Eastern Tier 3 
Imperial  (Medics),TW7 4NQ,ICG Women's South Eastern Tier 3 
Kingston,KT7 0AE,Men's South Eastern Tier 2
Stirling,FK8 1QZ,Men's Scottish Tier 4 
LSE,E20 3AD,Men's South Eastern Tier 5
Northumbria,NE7 7XA,Men's Northern Tier 2
UCLan,PR2 1SG,ICG Women's Northern Tier 3 
Anglia Ruskin  (Cambridge),CB3 0EQ,ICG Women's Midlands Tier 4
UWE,BS16 1QY,ICG Women's Western Tier 5
Abertay,DD4 7AA,ICG Women's Scottish Tier 3
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
East Anglia,NR4 7TJ,Men's Midlands Tier 2
Oxford Brookes,OX3 0GB,Men's Midlands Tier 3
Hertfordshire,,Men's South Eastern Tier 3
Roehampton,SW15 5JQ,Men's South Eastern Tier 4
Bucks New,HP7 9HN,Men's South Eastern Tier 5
Greenwich,,ICG Women's South Eastern Tier 3 
Bristol,BS9 2BJ,Men's Western Tier 4
Canterbury CC,,ICG Women's South Eastern Tier 4
Edinburgh,,ICG Women's Scottish Tier 5
Aston,,Men's Midlands Tier 2
Chester: Chester,,ICG Women's Northern Tier 2
Coventry,CV4 8GP,ICG Women's Midlands Tier 3
Royal Veterinary College,,ICG Women's South Eastern Tier 2
Wrexham Glyndwr,LL11 2AW,ICG Women's Northern Tier 5
Keele,,ICG Women's Northern Tier 5
Strathclyde,G33 6ND,Men's Scottish Tier 3 
Leeds,LS16 5AU,ICG Women's Northern Tier 5
Hull,,ICG Women's Northern Tier 5
Chichester,PO19 6PE,Men's South Eastern Tier 2
Glasgow,G20 0SP,Men's Scottish Tier 4 
Swansea,SA2 8QB,ICG Women's Premier
Bath,BA2 7AY,Men's Western Tier 2 
Southampton,SO50 5PE,Men's Western Tier 3 
Cardiff  (Medics),CF14 3AT,Men's Western Tier 3 
Manchester Met,,Men's Northern Tier 4
Bangor,LL57 2EH,Men's Northern Tier 5
Leeds,LS16 5AU,Men's Northern Tier 2
Loughborough,LE11 3TU,ICG Women's Midlands Tier 2
Birmingham,B15 2GR,ICG Women's Midlands Tier 2
Sheffield Hallam,,ICG Women's Northern Tier 3 
Swansea,SA2 8QB,ICG Women's Western Tier 3
Bournemouth,BH23 6BL,ICG Women's Western Tier 4
Portsmouth,PO4 8LW,Men's South Eastern Tier 2
Edinburgh,,ICG Women's Scottish Tier 2
Stirling,FK9 4LA,ICG Women's Scottish Tier 4
Durham,DH1 3SE,ICG Women's Premier
Nottingham Trent,,Men's Midlands Tier 3
Newcastle,NE12 8AD,Men's Northern Tier 3
York,YO10 5NA,Men's Northern Tier 5
Royal Holloway,,ICG Women's South Eastern Tier 2
Warwick,CV4 8AH,ICG Women's Midlands Tier 4
Reading,RG6 6UR,ICG Women's South Eastern Tier 4
Exeter,EX4 4QN,ICG Women's Premier
Manchester,M14 6HE,Men's Northern Tier 3
UWE,BS16 1QY,Men's Western Tier 4
Queen Mary,,Men's South Eastern Tier 3
Nottingham,NG7 2RJ,Men's Midlands Tier 4
Lancaster,LA1 4YQ,Men's Northern Tier 5
Imperial  (Medics),TW7 4NQ,Men's South Eastern Tier 5
Edge Hill,L39 4QP,ICG Women's Northern Tier 2
Brunel,UB8 3PH,ICG Women's South Eastern Tier 2
Imperial,UB3 5AQ,ICG Women's South Eastern Tier 2
Salford,WA15 7LU,ICG Women's Northern Tier 3 
Exeter,EX4 4QN,ICG Women's Western Tier 3
Bristol,BS9 2BJ,ICG Women's Western Tier 3
St Andrews,KY16 9DY,ICG Women's Scottish Tier 3
St George's,KT7 0AE,ICG Women's South Eastern Tier 2
Winchester,SO23 0QA,ICG Women's Western Tier 3
USW,CF37 5UP,ICG Women's Western Tier 2
Dundee,DD2 1UQ,ICG Women's Scottish Tier 4
Edinburgh,,ICG Women's Scottish Tier 5
Worcester,DY13 8BQ,Men's Midlands Tier 3
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 2
King's College,SE23 1NW,ICG Women's South Eastern  Tier 5
Royal Veterinary College,,ICG Women's South Eastern  Tier 5
Strathclyde,G33 6ND,Men's Premier
Lincoln,,Men's Midlands Tier 2
Solent,,Men's Western Tier 2 
Portsmouth,PO4 8LW,Men's South Eastern Tier 3
Leeds,LS16 5AU,ICG Women's Northern Tier 3 
Southampton,SO50 5PE,ICG Women's Western Tier 4
Hertfordshire,,ICG Women's South Eastern  Tier 5
Essex,CO4 3SQ,Men's South Eastern Tier 2
Brighton,,Men's South Eastern Tier 2
Birmingham,B15 2GR,Men's Midlands Tier 2
Cardiff,CF14 3AT,Men's Western Tier 2 
Harper Adams,,Men's Midlands Tier 3
Greenwich,,Men's South Eastern Tier 4
Manchester Met,M14 6HE,ICG Women's Northern Tier 2
Leeds,LS16 5AU,Men's Northern Tier 2
Birmingham City,B42 2SY,ICG Women's Midlands Tier 3
Bristol,BS9 2BJ,ICG Women's Western Tier 4
Liverpool,L18 6HF,ICG Women's Northern Tier 4
Cumbria,LA1 3DY,ICG Women's Northern Tier 4
Bangor,LL57 2EH,ICG Women's Northern Tier 5
Robert Gordon,AB24 1XP,ICG Women's Scottish Tier 2
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
Cardiff Met,,ICG Women's Premier
Nottingham Trent,,ICG Women's Midlands Tier 3
Derby,DE22 1JD,ICG Women's Midlands Tier 4
York St John,,Men's Northern Tier 5
Plymouth,PL6 8BH,ICG Women's Western Tier 4
Staffordshire,ST15 0BW,Men's Midlands Tier 3
Oxford,OX4 1SR,ICG Women's Midlands Tier 2
Reading,RG6 6UR,ICG Women's South Eastern Tier 3 
St Andrews,KY16 9DY,Men's Scottish Tier 4 
Imperial,UB3 5AQ,Men's South Eastern Tier 3
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 4
Newcastle,NE12 8AD,ICG Women's Northern Tier 2
Kent,CT2 7SR,ICG Women's South Eastern Tier 2
Arts London,E20 3AD,ICG Women's South Eastern Tier 4
LSE,E20 3AD,ICG Women's South Eastern Tier 3 
Bath Spa,,ICG Women's Western Tier 4
York,YO10 5NA,Men's Northern Tier 4
Strathclyde,G33 6ND,ICG Women's Scottish Tier 5
Edinburgh,,Men's Scottish Tier 4 
Nottingham,NG7 2RJ,Men's Midlands Tier 2
Surrey,GU2 7AD,Men's South Eastern Tier 3
King's College  (GKT),SE23 1NW,Men's South Eastern Tier 3
Manchester,M14 6HE,Men's Northern Tier 2
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 2
Manchester,M14 6HE,ICG Women's Northern Tier 3 
Leicester,LE2 2LL,ICG Women's Midlands Tier 4
Royal Holloway,,ICG Women's South Eastern Tier 4
King's College  (GKT),SE23 1NW,Men's Premier
Exeter,EX4 4QN,ICG Women's Western Tier 2
Bristol,BS9 2BJ,ICG Women's Western Tier 2
Glasgow Caledonian,G40 1HB,ICG Women's Scottish Tier 3
Cambridge,CB3 0EQ,ICG Women's Midlands Tier 2
Brighton  (Eastbourne),,ICG Women's South Eastern  Tier 5
Heriot-Watt,,ICG Women's Scottish Tier 2
Birmingham,B15 2GR,Men's National
Liverpool,L18 6HF,ICG Women's Northern Tier 4
Glasgow Caledonian,G40 1HB,Men's Scottish Tier 3 
Imperial,UB3 5AQ,Men's South Eastern Tier 5
Sheffield,S8 8PS,ICG Women's Northern Tier 3 
City,E20 3AD,ICG Women's South Eastern Tier 4
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
Durham,DH1 3SE,Men's Northern Tier 3
LSE,E20 3AD,Men's South Eastern Tier 2
Glasgow,G20 0SP,Men's Scottish Tier 2 
Oxford,OX4 1SR,Men's Premier
Nottingham Trent,,ICG Women's Midlands Tier 3
Newcastle,NE12 8AD,ICG Women's Northern Tier 4
Bolton,BL1 5BP,Men's Northern Tier 4
Edinburgh,,ICG Women's Scottish Conference Plate
Sheffield,S8 8PS,ICG Women's Northern Tier 5
Glasgow,G20 0SP,Men's Scottish Tier 4 
Bedfordshire,MK41 9EA,Men's Midlands Tier 4
Royal Holloway,,ICG Women's South Eastern  Tier 5
York,YO10 5NA,ICG Women's Northern Tier 5
Bath,BA2 7AY,Men's Western Tier 1
Cardiff Met,,Men's Western Tier 1
Exeter,EX4 4QN,Men's Western Tier 1
Warwick,CV4 8AH,ICG Women's Midlands Tier 1
Loughborough,LE11 3TU,ICG Women's Midlands Tier 1
Bath,BA2 7AY,ICG Women's Western Tier 1
Marjon,,Men's Western Tier 4
Nottingham Trent,,ICG Women's Midlands Tier 3
Edge Hill,L39 4QP,ICG Women's Northern Tier 5
Aberdeen,,Men's Scottish Tier 1
Heriot-Watt,,Men's Scottish Tier 1
Oxford,OX4 1SR,Men's Midlands Tier 3
Lancaster,LA1 4YQ,Men's Northern Tier 5
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 1
Kent,CT2 7SR,ICG Women's South Eastern  Tier 5
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 5
Stirling,FK9 4LA,ICG Women's Scottish Tier 1
Canterbury CC,,Men's South Eastern Tier 1
USW,CF37 5UP,ICG Women's Western Tier 5
Newcastle,NE12 8AD,ICG Women's Northern Tier 4
Aston,,Men's Midlands Tier 2
Manchester Met,,Men's Northern Tier 4
Sheffield,S8 8PS,Men's Northern Tier 5
Edinburgh,,Men's Scottish Tier 1
Birmingham,B15 2GR,Men's National
Bath,BA2 7AY,ICG Women's National 
UWE,BS16 1QY,Men's Western Tier 3 
Bath,BA2 7AY,Men's Western Tier 3 
Cambridge,CB3 0EQ,Men's Premier
Loughborough,LE11 3TU,Men's Premier
Glasgow,G20 0SP,ICG Women's Scottish Tier 1
Durham,DH1 3SE,ICG Women's Premier
Nottingham Trent,,Men's Midlands Tier 1
Oxford,OX4 1SR,Men's Midlands Tier 1
Reading,RG6 6UR,Men's South Eastern Tier 1
Warwick,CV4 8AH,Men's Midlands Tier 4
York,YO10 5NA,Men's Northern Tier 5
Lancaster,LA1 4YQ,Men's Northern Tier 2
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 2
Bedfordshire,MK41 9EA,ICG Women's Midlands Tier 4
Imperial,UB3 5AQ,Men's Premier
Royal Veterinary College,,ICG Women's South Eastern Tier 4
Aberdeen,,Men's Scottish Tier 4 
Nottingham,NG7 2PS,ICG Women's Midlands Tier 1
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern Tier 1
Surrey,GU2 7AD,ICG Women's South Eastern Tier 1
Bristol,BS9 2BJ,Men's Western Tier 4
LSE,,Men's South Eastern Tier 5
Edge Hill,L39 4QP,ICG Women's Northern Tier 2
Northumbria,NE7 7XA,ICG Women's Northern Tier 1
Edinburgh,,Men's Premier
Stirling,FK9 4LA,ICG Women's Scottish Tier 4
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 4
Sheffield,S8 8PS,Men's Northern Tier 4
Birmingham,B15 2GR,ICG Women's National 
Bath,BA2 7AY,Men's National
Loughborough,LE11 3TU,Men's National
Leeds,LS16 5AU,ICG Women's Premier
Southampton,SO50 5PE,ICG Women's Premier
Gloucestershire,GL2 9DW,ICG Women's Western Tier 1
Lincoln,,ICG Women's Midlands Tier 4
Birmingham,B15 2GR,ICG Women's Premier
Newcastle,NE12 8AD,Men's Northern Tier 1
Lancaster,LA1 4YQ,ICG Women's Northern Tier 5
Plymouth,PL6 8BH,Men's Premier
Reading,RG6 6UR,ICG Women's South Eastern Tier 1
UCL,W4 2SH,ICG Women's Premier
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 4
Sheffield Hallam,,ICG Women's Northern Tier 1
Northampton,NN3 7QL,Men's Midlands Tier 4
Solent,,ICG Women's Western Tier 4
Staffordshire,ST15 0BW,ICG Women's Midlands Tier 4
Durham,DH1 3SE,ICG Women's National 
Oxford,OX4 1SR,ICG Women's National 
King's College,SE23 1NW,ICG Women's Premier
Manchester,M14 6HE,ICG Women's Northern Tier 1
Teesside,,ICG Women's Northern Tier 4
Bristol,BS9 2BJ,Men's National
Manchester,M14 6HE,Men's Northern Tier 1
Oxford Brookes,OX3 0GB,ICG Women's Premier
Loughborough,LE11 3TU,Men's Midlands Tier 1
Liverpool,L18 6HF,Men's Northern Tier 1
UWE,BS16 1QY,ICG Women's Western Tier 1
Queen Mary  (Barts),,Men's South Eastern Tier 5
Sheffield,S8 8PS,ICG Women's Northern Tier 2
Birmingham,B15 2GR,Men's Premier
Cardiff,CF14 3AT,Men's Premier
Leeds,LS16 5AU,Men's Premier
Edinburgh,,ICG Women's Scottish Conference Plate
Nottingham Trent,,ICG Women's Midlands Tier 4
Cardiff,CF14 3AT,ICG Women's Premier
Durham,DH1 3SE,Men's National
Durham,DH1 3SE,Men's Premier
Sheffield,S8 8PS,ICG Women's Northern Tier 5
Oxford Brookes,OX3 0GB,Men's Midlands Tier 4
USW,CF37 5UP,ICG Women's Western Tier 2
Swansea,SA2 8QB,ICG Women's Western Tier 3
Exeter,EX4 4QN,ICG Women's Premier
Loughborough,LE11 3TU,Men's Midlands Tier 2
Warwick,CV4 8AH,Men's Midlands Tier 2
Nottingham Trent,,ICG Women's Midlands Tier 2
Winchester,SO23 0QA,ICG Women's Western Tier 3
Bedfordshire,MK41 9EA,ICG Women's Midlands Tier 4
Royal Holloway,,ICG Women's South Eastern  Tier 5
Royal Agricultural,,ICG Women's Western Tier 2
York,YO10 5NA,ICG Women's Northern Tier 4
Liverpool John Moores,,Men's Northern Tier 1
Sheffield Hallam,,Men's Northern Tier 3
Bristol,BS9 2BJ,Men's Western Tier 4
Leeds,LS16 5AU,Men's Northern Tier 5
Edge Hill,L39 4QP,Men's Northern Tier 2
Leeds,LS16 5AU,ICG Women's Northern Tier 3 
Bristol,BS9 2BJ,ICG Women's Western Tier 3
Cardiff  (Medics),CF14 3AT,ICG Women's Western Tier 3
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 5
Exeter,EX4 4QN,ICG Women's Western Tier 2
Bournemouth,BH23 6BL,ICG Women's Western Tier 2
Queen Margaret,,ICG Women's Scottish Tier 5
Lancaster,LA1 4YQ,Men's Northern Tier 2
Anglia Ruskin  (Cambridge),CB3 0EQ,Men's Midlands Tier 4
UCL,W4 2SH,ICG Women's South Eastern Tier 4
Essex,CO4 3SQ,ICG Women's South Eastern Tier 4
Newcastle,NE12 8AD,ICG Women's Northern Tier 2
UWE,BS16 1QY,ICG Women's Western Tier 5
Imperial  (Medics),UB3 5AQ,ICG Women's South Eastern  Tier 5
Imperial,TW7 4NQ,ICG Women's South Eastern  Tier 5
St Andrews,KY16 9DY,Men's Scottish Tier 2 
East Anglia,NR4 7TJ,Men's Midlands Tier 2
Keele,,Men's Northern Tier 3
Sheffield,S8 8PS,Men's Northern Tier 4
Canterbury CC,,Men's South Eastern Tier 4
Harper Adams,,ICG Women's Midlands Tier 3
Aston,,ICG Women's Midlands Tier 3
De Montfort,,ICG Women's Midlands Tier 4
Greenwich,,ICG Women's South Eastern Tier 3 
Sussex,,Men's South Eastern Tier 2
Swansea,SA2 8QB,ICG Women's Western Tier 4
Swansea,SA2 8QB,Men's Western Tier 2 
Royal Veterinary College,,Men's South Eastern Tier 3
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 2
Canterbury CC,,ICG Women's South Eastern Tier 2
Hull,,ICG Women's Northern Tier 3 
Coventry,CV4 8GP,ICG Women's Midlands Tier 4
Surrey,GU2 7AD,ICG Women's South Eastern  Tier 5
Wrexham Glyndwr,LL11 2AW,ICG Women's Northern Tier 5
Brighton  (Brighton),,ICG Women's South Eastern Tier 3 
Birmingham,B15 2GR,Men's Midlands Tier 3
Loughborough,LE11 3TU,Men's Midlands Tier 3
Leeds,LS16 5AU,ICG Women's Northern Tier 3 
Cardiff,CF14 3AT,ICG Women's Western Tier 3
Sheffield Hallam,,ICG Women's Northern Tier 5
Solent,,Men's Western Tier 2 
Bournemouth,BH23 6BL,Men's Western Tier 3 
Cardiff Met,,ICG Women's Western Tier 4
Bangor,LL57 2EH,ICG Women's Northern Tier 3 
Southampton,SO50 5PE,ICG Women's Western Tier 4
Nottingham Trent,,ICG Women's Midlands Tier 3
Oxford,OX4 1SR,ICG Women's Midlands Tier 2
Leeds Beckett,LS6 3QQ,Men's Northern Tier 3
Royal Agricultural,,Men's Western Tier 3 
Bristol,BS9 2BJ,Men's Western Tier 3 
Salford,WA15 7LU,Men's Northern Tier 4
York,YO10 5NA,Men's Northern Tier 4
Kent,CT2 7SR,Men's South Eastern Tier 4
Liverpool John Moores,,ICG Women's Northern Tier 2
Bristol,BS9 2BJ,ICG Women's Western Tier 4
Royal Holloway,,ICG Women's South Eastern Tier 4
St Andrews,KY16 9DY,ICG Women's Scottish Tier 4
Exeter,EX4 4QN,Men's Western Tier 2 
